ID;marca;tipogasolina;numero_puertas;tipo_carroceria;largo;ancho;peso;caballos_fuerza;rpm;precio
1;chevrolet;gas;two;hatchback; 141,1 ; 60,3 ; 53,2 ;48;5100;5151
2;isuzu;gas;four;sedan; 170,7 ; 61,8 ; 53,5 ;78;4800;6785
3;honda;gas;four;sedan; 175,4 ; 62,5 ; 54,1 ;86;5800;10295
4;subaru;gas;two;hatchback; 156,9 ; 63,4 ; 53,7 ;69;4900;5118
5;chevrolet;gas;two;hatchback; 155,9 ; 63,6 ; 52,0 ;70;5400;6295
6;chevrolet;gas;four;sedan; 158,8 ; 63,6 ; 52,0 ;70;5400;6575
7;isuzu;gas;two;sedan; 155,9 ; 63,6 ; 52,0 ;70;5400;NA
8;isuzu;gas;four;sedan; 155,9 ; 63,6 ; 52,0 ;70;5400;NA
9;subaru;gas;two;hatchback; 157,9 ; 63,6 ; 53,7 ;73;4400;7053
10;toyota;gas;two;hatchback; 158,7 ; 63,6 ; 54,5 ;62;4800;5348
11;toyota;gas;two;hatchback; 158,7 ; 63,6 ; 54,5 ;62;4800;6338
12;toyota;gas;four;hatchback; 158,7 ; 63,6 ; 54,5 ;62;4800;6488
13;toyota;gas;four;wagon; 169,7 ; 63,6 ; 59,1 ;62;4800;6918
14;toyota;gas;four;wagon; 169,7 ; 63,6 ; 59,1 ;62;4800;7898
15;toyota;gas;four;wagon; 169,7 ; 63,6 ; 59,1 ;62;4800;8778
16;dodge;gas;two;hatchback; 157,3 ; 63,8 ; 50,8 ;68;5500;5572
17;dodge;gas;two;hatchback; 157,3 ; 63,8 ; 50,8 ;68;5500;6377
18;dodge;gas;two;hatchback; 157,3 ; 63,8 ; 50,8 ;102;5500;7957
19;dodge;gas;four;hatchback; 157,3 ; 63,8 ; 50,6 ;68;5500;6229
20;dodge;gas;four;sedan; 157,3 ; 63,8 ; 50,6 ;68;5500;6692
21;dodge;gas;four;sedan; 157,3 ; 63,8 ; 50,6 ;68;5500;7609
22;dodge;gas;two;sedan; 157,3 ; 63,8 ; 50,6 ;102;5500;8558
23;mitsubishi;gas;two;hatchback; 157,3 ; 63,8 ; 50,8 ;102;5500;7689
24;nissan;gas;two;sedan; 165,3 ; 63,8 ; 54,5 ;69;5200;5499
25;nissan;diesel;two;sedan; 165,3 ; 63,8 ; 54,5 ;55;4800;7099
26;nissan;gas;two;sedan; 165,3 ; 63,8 ; 54,5 ;69;5200;6649
27;nissan;gas;four;sedan; 165,3 ; 63,8 ; 54,5 ;69;5200;6849
28;nissan;gas;four;wagon; 170,2 ; 63,8 ; 53,5 ;69;5200;7349
29;nissan;gas;two;sedan; 165,3 ; 63,8 ; 54,5 ;69;5200;7299
30;nissan;gas;two;hatchback; 165,6 ; 63,8 ; 53,3 ;69;5200;7799
31;nissan;gas;four;sedan; 165,3 ; 63,8 ; 54,5 ;69;5200;7499
32;nissan;gas;four;wagon; 170,2 ; 63,8 ; 53,5 ;69;5200;7999
